modCodeStr,dbCodeStr,season,exportDate,RV,effectType,likelihood,mean,sd,q_025,q_5,q_975,mode,kld
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01035,spatial,normal,-1.1004450121239824,0.35434656059046765,-1.7920669800607278,-1.099895957202435,-0.411560849858132,-1.0983375233993282,3.8206495500612e-12
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01037,spatial,normal,0.4352132797573711,0.30788843430315443,-0.16844958817779693,0.434978997962905,1.03961054061429,0.4345050033524672,4.8311157469213215e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01039,spatial,normal,-1.1307775032436047,0.3571679308618623,-1.8273868734793806,-1.1302213918137065,-0.4368705980520994,-1.1286134779631756,4.309680240368119e-12
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01041,spatial,normal,5.557676655727364e-10,0.4248140339107532,-0.836947628902994,-1.25402718283369e-5,0.8359426721757477,-2.3889176123624175e-11,7.77658368070662e-17
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01043,spatial,normal,0.4872230605789772,0.3101763641339935,-0.12076934701185571,0.4869657370873547,1.0960751644803608,0.48643661931698995,3.750387894929145e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01045,spatial,normal,-0.004574962764241741,0.2988308411859919,-0.5913464008718733,-0.004578593608980659,0.5816747045493512,-0.004560524993608095,1.2121825867422865e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01047,spatial,normal,-0.8112404522076628,0.3307403246608321,-1.4602444495137865,-0.8107113666027252,-0.16536380681021512,-0.8094149234636094,5.05180866077194e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01049,spatial,normal,0.5790937986502236,0.3150435797292083,-0.03802639336820868,0.5787721890655804,1.1974232991814864,0.5780885212755664,1.4821248626910522e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01051,spatial,normal,5.563636275638874e-10,0.42481403391075295,-0.8369476289023713,-1.2540271241818174e-5,0.835942672176368,-2.332944055925938e-11,1.5466515890909125e-16
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01053,spatial,normal,-0.3867016154909431,0.30612597459302743,-0.9882605945694936,-0.38648708238984353,0.2131572975782695,-0.38600634659932875,4.590728239859359e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01055,spatial,normal,0.631471895178054,0.31788114245163374,0.008986479808950065,0.6311473112930972,1.2551893749413332,0.6304460683347259,4.449750206273867e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01057,spatial,normal,0.4532395421077361,0.30872560632161705,-0.15199548781205152,0.4529907834858966,1.059287190498758,0.45248399448518456,4.732147871424925e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01059,spatial,normal,0.3190349016817587,0.30363555394136177,-0.27656987463785376,0.318855405051549,0.9150781929489807,0.3185057781791852,2.558962462631619e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01061,spatial,normal,-0.07379194973480141,0.2991154649657012,-0.661242777823562,-0.07375309072653878,0.5129032673389283,-0.07364802581107262,1.1017724786658878e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01063,spatial,normal,-0.09076210198121593,0.2995054463239128,-0.6790168260701152,-0.09070965452118541,0.496661905149461,-0.0905765738201285,1.0365387742313683e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01065,spatial,normal,-0.4142352830459922,0.3072472538692268,-1.0180062340300389,-0.4140036411222661,0.18774769666859842,-0.4134839247047964,5.4393368867712344e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01067,spatial,normal,-9.831236104462563e-4,0.29868099916916657,-0.5874541692633185,-9.88808077442902e-4,0.5849777299468288,-9.74964225566997e-4,1.2056136596243832e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01069,spatial,normal,0.027564442321144796,0.29882051117578506,-0.5591320255939494,0.02754217879095306,0.6138416705157553,0.0275220885360466,1.198413158932972e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01071,spatial,normal,0.5063585584972706,0.31139410078154,-0.10386699514835684,0.5060601755591569,1.1176646894568498,0.5054398186127439,4.4367112729131545e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01073,spatial,normal,0.08128482528792541,0.29886847701013747,-0.5054187901468553,0.08123392924825801,0.6677269698231814,0.08115520213810977,1.066208977827015e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01075,spatial,normal,0.42694721551618536,0.3077481169289647,-0.17641615689060208,0.4266997296522783,1.031116008958439,0.42619843226936593,5.641442610741863e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01077,spatial,normal,0.23176496728587612,0.30129348617910584,-0.35942021469378793,0.2316296774741626,0.8231492831829239,0.23137542878495687,3.554378674259562e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01079,spatial,normal,0.2258132460983349,0.30110132467918543,-0.3650134169558986,0.2256836406003778,0.8168081702635792,0.22544130490546271,3.635452723973583e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01081,spatial,normal,-0.33830063223827733,0.3043602789828839,-0.9363566575289228,-0.33811747934499375,0.2582196189821981,-0.33770645927482895,3.2209409120249054e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01083,spatial,normal,0.25701146169512384,0.3020065174340086,-0.3355077583649637,0.2568573158801585,0.8498321700606528,0.2565632328654095,2.7387986312141576e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01085,spatial,normal,5.55547058343247e-10,0.42481403391075334,-0.8369476289032238,-1.2540272045341014e-5,0.8359426721755191,-2.410721047183746e-11,1.546651630449943e-16
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01087,spatial,normal,5.555754084137452e-10,0.42481403391075334,-0.8369476289031951,-1.2540272017401156e-5,0.8359426721755485,-2.4085195571028868e-11,1.5466516139063308e-16
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01089,spatial,normal,0.262252436002044,0.3021618393604164,-0.33055732045660047,0.26209421650259496,0.8553857830101261,0.2617914992998614,2.7359836760326356e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01091,spatial,normal,-0.8669758281398602,0.3343810753238722,-1.5224131395006057,-0.8665143423682441,-0.21424544389670563,-0.8653512516340335,8.715599838936965e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01093,spatial,normal,0.4303974011098217,0.3078579439417999,-0.17317749759381373,0.43015038341078593,1.0347752724681643,0.429649764453173,5.564204983349832e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01095,spatial,normal,0.5716934257163019,0.3145611071239349,-0.04454037542613665,0.5713850540846929,1.1890653258002146,0.5707318969790077,1.2622711581149309e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01097,spatial,normal,-0.28856165965266056,0.3030285542472053,-0.8840076126008087,-0.28839119008595576,0.3054124824445045,-0.28800982783118406,2.947051584302921e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01099,spatial,normal,-1.0735335878726908,0.35180547151730424,-1.7605780454889972,-1.073006843587552,-0.38917426917422715,-1.0715342455788315,3.39389177166545e-12
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01101,spatial,normal,-0.7897094016446299,0.32843894740296337,-1.4340075456367063,-0.7893063067957016,-0.1479056485874951,-0.7883189471205325,4.1245272631115385e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01103,spatial,normal,0.26781335367140296,0.3020865802864084,-0.3248699082576177,0.2676636781146318,0.8607737630943155,0.26737847152142435,2.357160002512297e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01105,spatial,normal,-0.7089678075711097,0.3233968724823901,-1.3440359197324336,-0.708527421747392,-0.07666528807269046,-0.7074841287133945,1.5206632852510498e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01107,spatial,normal,-0.043913702554938906,0.2987543944695514,-0.6305978177113923,-0.043895299345011914,0.5421277571416753,-0.04383212558730718,1.1688182234791118e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01109,spatial,normal,5.557280743332589e-10,0.4248140339107532,-0.8369476289030355,-1.254027186710047e-5,0.8359426721757065,-2.3934040040264336e-11,7.77658368070662e-17
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01111,spatial,normal,0.2724752768218473,0.30214982969270554,-0.32033359759385427,0.2723270353799055,0.8655534244523069,0.27204459774295675,2.356173253796499e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01113,spatial,normal,-0.33664742835861683,0.3043235410611434,-0.9346332761386427,-0.33646415721539175,0.25980179725206615,-0.33605298665875777,3.0718712424256184e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01115,spatial,normal,0.37793684718309517,0.3058376189339336,-0.22180946063875895,0.37771342618703424,0.9783589308436208,0.377267670876669,4.525205255144507e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01117,spatial,normal,0.3174630948463843,0.3038410335675545,-0.2785049972934385,0.3172690331075624,0.9139486333297282,0.31688903439436145,3.081635385773771e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01119,spatial,normal,-0.3194195244348473,0.3043334480854777,-0.9175209752613009,-0.31920884477192163,0.2769928459192909,-0.31874158670813885,3.8957781350896445e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01121,spatial,normal,0.3801985906732438,0.305593831310955,-0.21913238574928573,0.3799984931792876,0.9800792843995023,0.37960177425900077,3.715105000761497e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01123,spatial,normal,0.21049299836307805,0.3006640227336645,-0.3795187466060749,0.21037655128131896,0.8006014106167795,0.2101617031794979,4.183346102751068e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01125,spatial,normal,-0.06858935709156941,0.29881256330800643,-0.6554229843387327,-0.06855821722855608,0.517531723361881,-0.06846890535473915,1.1098357671173723e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01127,spatial,normal,0.4432356095080194,0.30827474159593476,-0.16115161540700051,0.44299393640545587,1.0483970919129955,0.442503322692949,5.0380614800182876e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01129,spatial,normal,-0.18312731508381108,0.300396006080215,-0.7732479535845482,-0.1830279690626893,0.4059066204889184,-0.1827974468243179,5.651832038940198e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01131,spatial,normal,-0.8289788067721757,0.3320909421649613,-1.480524874667624,-0.8284338790041401,-0.18062092022923026,-0.8270897988530342,6.022524000025829e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01133,spatial,normal,0.44331143041209975,0.30841946719660474,-0.16131979293139975,0.44305552692126476,1.0487936641347948,0.4425346383527955,5.471015622867886e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04001,spatial,normal,-0.4496720647460059,0.3163428176694615,-1.0731820761258648,-0.44877615924500214,0.1684486978282147,-0.4468403022538829,5.762027469824838e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04003,spatial,normal,0.10746045674479586,0.30604237768192166,-0.49289971020640255,0.10725470232795163,0.7083960070478196,0.10685998512464667,1.4853932279917946e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04005,spatial,normal,-0.10123390996955002,0.30626181714442346,-0.7031627894789345,-0.10104943397841007,0.4991231925647054,-0.10064609746119377,1.5415233200942454e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04007,spatial,normal,-0.08318470418647171,0.30586057683307466,-0.6842199976413595,-0.08303689571421759,0.5164807475926394,-0.08270885274071633,1.5659678829619822e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04009,spatial,normal,-0.14765930420679269,0.3067745250106043,-0.7508414082538367,-0.14738706525717968,0.4534698740551758,-0.14680299938073588,1.3879908513616586e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04011,spatial,normal,-0.13983910079666276,0.3066908205485683,-0.7428164668805666,-0.13958139406612594,0.4611648687430347,-0.1390273359576338,1.4127243325354923e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04012,spatial,normal,0.11455975060360968,0.3068530265021976,-0.4873136414843867,0.11432591235775766,0.7171611854231879,0.11387379270578707,1.5696722392817335e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04013,spatial,normal,0.11188516646795922,0.3060571303115095,-0.488482045103788,0.11167213478507766,0.7128677490016172,0.11126242221995362,1.4630268419313005e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04015,spatial,normal,-0.32653723852034827,0.31074473610566705,-0.9383559692546233,-0.3259419115511895,0.2814818296561628,-0.32467252648575007,2.8312544797339864e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04017,spatial,normal,-0.04766755721708286,0.3061070511754612,-0.6490073430150358,-0.04758331291878373,0.5526509588707809,-0.047385149784316107,1.739786136316009e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04019,spatial,normal,0.1933353040604492,0.30726234328706864,-0.4089508927478246,0.1929739886284211,0.7970484672742303,0.1922570866331343,1.3156021285962729e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04021,spatial,normal,0.08715996565687106,0.3060958141848057,-0.5134070596165397,0.08698796223268516,0.6881164519996852,0.086662580344282,1.5913338555489316e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04023,spatial,normal,0.08188725298304206,0.3061600603558478,-0.5188309139291285,0.0817234508636897,0.6829495853890264,0.08141492067351595,1.616113011650957e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04025,spatial,normal,0.29078140667828145,0.3098989022027909,-0.31607997305677377,0.2902256900267738,0.9001252869921896,0.28909771139266266,2.2470386909810092e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,04027,spatial,normal,0.1286644297499549,0.30642033291591464,-0.4723134973557618,0.12841671872695481,0.7304476573463108,0.12793570085042294,1.4263048170727764e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,05001,spatial,normal,0.10918477661458127,0.2985016967613071,-0.4767894796545702,0.10913209588132992,0.6949083584055721,0.10904956668524214,9.383905917086198e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,05003,spatial,normal,-0.24642875012793658,0.30107384508068596,-0.8378611211537621,-0.24632698287273183,0.3439068554751126,-0.24608986382140893,2.5644189558200124e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,05005,spatial,normal,-0.2730745013784794,0.3023545569477477,-0.8671295460820969,-0.2729306226576869,0.3196537364506472,-0.2726050332852622,2.504788949718414e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,05007,spatial,normal,0.10714164941799957,0.29895466002661564,-0.4796914149427708,0.10707818481600156,0.6937825553067863,0.10697372787277389,9.462244778299526e-15
