modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,35,164,1.7710470665380273,0.011109918552505654,1.7492157699304327,1.7712403203060114,1.790884382702608,1.771315174550688,4.87882767243806,1.7713573665969071
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,32,165,2.5078399080061735,0.011140228494104162,2.4857161818325286,2.5081008791849793,2.527496458486544,2.5082066451966436,11.2838132022497,2.5082823958730573
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,36,166,1.3578426414869842,0.011071685463322455,1.3373351416913617,1.3577110519243971,1.3786861510410746,1.3576247252057967,2.88641371068447,1.3574868071219581
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,39,167,2.650199606304045,0.011084966238568982,2.62870671721326,2.6503088214296704,2.6702701256803167,2.6503421569773526,13.158773648262,2.6503344777538334
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,40,168,3.4533494679959453,0.011134178570849543,3.431261994041327,3.453603469542053,3.4730211187995508,3.453707591593404,30.6197596642671,3.453782231001874
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,41,169,2.616744408849313,0.011128888630100009,2.5947078466726716,2.6169870753545377,2.63644736911538,2.6170855349045357,12.696689770146,2.6171541810215513
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,42,170,2.4130443569823328,0.011139304732120664,2.390903907885445,2.4133101742972722,2.4326861044616694,2.4134206299600094,10.1730295118802,2.413502794918573
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,44,171,0.5811258847617444,0.011185070655680604,0.5616265780429051,0.5806918189582525,0.603260927342031,0.5804531608936635,0.786325648597319,0.5801607998745285
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,45,172,3.973597219972228,0.011082956275285617,3.9522722115264193,3.9736636626896913,3.993799619382843,3.973675806935087,52.177929467102,3.97364345062859
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,46,173,3.1507519233201284,0.011073150740692738,3.1295329364989,3.1507927549688546,3.171022750165016,3.1507942045833013,22.3535714857856,3.150749926841937
